Atlanta Journal-Constitution,ajc.com,left_center,,,,,,
Al Monitor,al-monitor.com,left_center,,,,,,
alabamaobserver,alabamaobserver.com,,imposter site,,,,,"Toronto, Canada !!!"
Al Bawaba,albawaba.com,least_biased,,,,,,
Higgins News Network,alexanderhiggins.com,pseudoscience,,,,,,
The Algemeiner Journal,algemeiner.com,right_center,,,,,,
Al Jazeera,aljazeera.com,left_center,,,,,,
Allen B. West,allenbwest.com,right,,,,,,
Allen West Republic,allenwestrepublic.com,questionable,,,,,,
All News Pipeline,allnewspipeline.com,questionable,,unreliable,conspiracy,,,
Alt-Market,alt-market.com,pseudoscience,,conspiracy,bias, ,,
Alternet,alternet.org,left,,political,reliable,,,
AmericaBlog,americablog.com,left,,bias,clickbait,,domain for sale,
America Magazine,americamagazine.org,left_center,,,,,,
American Action Forum,americanactionforum.org,right_center,,,,,,
American Bridge 21st Century,americanbridgepac.org,left,,,,,,
americanflavor.news,americanflavor.news,,fake news,,,,,"Panama, Pa. *"
American Free Press,americanfreepress.net,pseudoscience,,conspiracy,bias,,,
American Intelligence Report,americanintelligencereport.com,pseudoscience,,,,,,
americankabuki.blogspot,americankabuki.blogspot.com,,,junksci,,,,
American Lookout,americanlookout.com,questionable,,bias,clickbait,,,
American News,americannews.com,questionable,,fake,,,,
American News X,americannewsx.com,left,,political,bias,satire,,
americanoverlook,americanoverlook.com,,,fake,,,,
American Patriot Daily,americanpatriotdaily.com,questionable,,bias,clickbait,bias,,
americanpeoplenetwork,americanpeoplenetwork.com,,fake news,,,,,"Veles, Macedonia"
americanpoliticnews,americanpoliticnews.co,,fake news,fake,,,,Came up as available for use
americanpresident,americanpresident.co,,fake news,fake,,,,"Tblisi, Georgia"
americanprogress,americanprogress.org,,,political,reliable,,,
Center For American Progress,americanprogress.org,left,,,,,,
americanreviewer,americanreviewer.com,,,conspiracy,,,,
Americans for Prosperity,americansforprosperity.org,right,,,,,,
American Thinker,americanthinker.com,right,,bias, ,,"sites both reliable/not reliable sources, mix of opinion/'fact'",
American Today,americantoday.news,questionable,,,,,,
americantoday.news,americantoday.news,,,rumor,bias,,,
American Updater,americanupdater.com,questionable,,,,,,
American Freedom Fighters,americasfreedomfighters.com,questionable,,bias,clickbait,,,
Ammoland,ammoland.com,right,,bias,,, ,
AM New York,amny.com,left_center,,,,,,
Amplifying Glass,amplifyingglass.com,satire,,clickbait,satire,,,
amposts,amposts.com,,fake news,fake,,,,"Chesterbrook, Pa.^"
American Renaissance,amren.com,questionable,,,,,,
Alternative Media Television (AMTV),amtvmedia.com,pseudoscience,,,,,,
amtvmedia,amtvmedia.com,,,rumor,unreliable,,,
amusmentic,amusmentic.com,,,clickbait,rumor,,,
Ancient Code,ancient-code.com,pseudoscience,,junksci,unreliable,,,
Ancient Origins,ancient-origins.net,pseudoscience,,,,,,
Anderson Institute,andersoninstitute.com,pseudoscience,,,,,,
anews24.org/,anews24.org/,,fake news,fake,,,,"Panama, Pa. *"
angrypatriotmovement,angrypatriotmovement.com,,fake news,conspiracy,fake,,,"Scottsdale, Ariz. **"
The Angry Patriot,angrypatriotmovement.com,questionable,,,,,,
Anonymous,anonews.co,pseudoscience,,,,,,
anonhq,anonhq.com,,,unreliable,,,,
anonjekloy.tk,anonjekloy.tk,,fake news,fake,,,,"Amsterdam, Netherlands"
We Are Anonymous,anonjekloy.tk,pseudoscience,,,,,,
anonews,anonnews.co,,,unreliable,,,,
Another Day in the Empire,anotherdayintheempire.com,pseudoscience,,bias,conspiracy,,,
Answers in Genesis,answersingenesis.org,pseudoscience,,,,,,
Anti-War,antiwar.com,right_center,,bias,unreliable,,site is biased but very open about bias and source,
antoniusaquinas.wp,antoniusaquinas.wp.com,,,bias,conspiracy,,,
AOL,aol.com,left_center,,,,,,
Associated Press,apnews.com,least_biased,,,,,,
Arab News,arabnews.com,right_center,,,,,,
Ara News,aranews.net,left_center,,,,,,
Archaeology Magazine,archaeology.org,pro_science,,,,,,
Arkansas Democrat-Gazette,arkansasonline.com,right_center,,,,,,
Ars Technica,arstechnica.com,pro_science,,,,,,
A Sheep No More,asheepnomore.net,pseudoscience,,,,,,
Asia-Pacific Research,asia-pacificresearch.com,pseudoscience,,unreliable,satire,,,
Assassination Science,assassinationscience.com,pseudoscience,,conspiracy,junksci,,,
associatedmediacoverage,associatedmediacoverage.com,,parody site,satire,,,,"Scottsdale, Ariz. **"
Atlantic Council,atlanticcouncil.com,least_biased,,,,,,
Atlantic Media,atlanticmedia.com,left_center,,,,,,
The Atlanta Banana,atlbanana.com,satire,,,,,,
Atomic Monkey,atomicmonkey.wordpress.com/tag/political-satire,satire,,,,,,
ATTN:,attn.com,left_center,,political,clickbait,,,
aurora-news.us,aurora-news.us,,imposter site,fake,,,,"Santiago, Chile"
Autistic Self Advocacy Network,autisticadvocacy.org,pro_science,,,,,,
automaticearth,automaticearth.com,,,unreliable,,,links to MSM sources and unreliable sources,
automotostar,automotostar.com,,,clickbait,,,,
A Voice for Men,avoiceformen.com,questionable,,,,,,
Awareness Act,awarenessact.com,pseudoscience,,conspiracy,junksci,,,
awazetribune,awazetribune.com,,,satire,,,,
AwdNews,awdnews.com,pseudoscience,,conspiracy,,,twitter account deleted?,
American Web Media (AWM),awm.com,right,,,,,,
awm,awm.com,,,unreliable,bias,clickbait,,
Axios,axios.com,left_center,,,,,,
Arizona Republic,azcentral.com,right_center,,,,,,
Babylon Bee,babylonbee.com,satire,,,,,,
BackChannel,backchannel.com,left_center,,,,,,
Backed by Fact,backedbyfact.com,left,,,,,,
Ballotpedia,ballotpedia.org,least_biased,,,,,,
Baltimore Sun,baltimoresun.com,left_center,,,,,,
baptistnews,baptistnews.com,,,political,,,circulates generally reliable information from a p.o.v. but not at the expense of informational integrity ,
Baptist News Global,baptistnews.com,left_center,,,,,,
Bare Naked Islam,barenakedislam.com,questionable,,hate,,,,
BB4SP,bb4sp.com,questionable,fake news,conspiracy,bias,fake,,"Midwest City, Okla."
BBC,bbc.com/news,left_center,,,,,,
BDNews24,bdnews24.com,least_biased,,,,,,
beehivebugle,beehivebugle.com,,,satire,,,,
Before It’s News,beforeitsnews.com,questionable,fake news,fake,conspiracy,rumor,,"Scottsdale, Ariz. **"
Being Libertarian,beinglibertarian.com,right,,,,,,
Bellingcat,bellingcat.com,least_biased,,,,,,
Berkshire Eagle,berkshireeagle.com,left_center,,,,,,
betootaadvocate,betootaadvocate.com,,,satire,,,,
Better Government Association,bettergov.org,least_biased,,,,,,
Boy Genius Report (BGR),bgr.com,left_center,,,,,,
bients,bients.com,,,clickbait,,,,
Big American News,bigamericannews.com,satire,,satire,fake,,,
bigbluedimension,bigbluedimension.com,,,rumor,bias,,,
Big Blue Vision,bigbluevision.com,questionable,,hate,,,,
Big Government News,biggovernment.news,right,,,,,,
bighairynews,bighairynews.com,,,fake,conspiracy,,,
bignuggetnews,bignuggetnews.com,,,bias,rumor,,,
Big Think,bigthink.com,least_biased,,,,,,
BillMoyers.com,billmoyers.com,left_center,,,,,,
Bipartisan Report,bipartisanreport.com,questionable,,clickbait,bias,,,
Bitch Media,bitchmedia.org,left,,,,,,
Bizpac Review,bizpacreview.com,right,,,,,,
Business Standard News (BS News),bizstandardnews.com,satire,,,,,,
Beijing Review,bjreview.com,left_center,,,,,,
Black Agenda Report,blackagendareport.com,left,,unreliable,,,anon submissions,
Black Genocide,blackgenocide.org,questionable,,conspiracy,bias,hate,,
blackinsurancenews,blackinsurancenews.com,,some fake stories,fake,unreliable,,,"Ridgefield Park, N.J."
Blacklisted News,blacklistednews.com,pseudoscience,,clickbait,unreliable,,,
Black Lives Matter,blacklivesmatter.com,left,,,,,,
Countable News,blog.countable.us,least_biased,,,,,,
Vanguard America,bloodandsoil.org,questionable,,,,,,
Bloomberg,bloomberg.com,left_center,,,,,,
The Blue Route,blue-route.org,left,,,,,,
Blue Dot Daily,bluedotdaily.com,left,,,,,,
Blue Lives Matter,bluelivesmatter.blue,right,,,,,,
Blue Nation Review,bluenationreview.com,left,,clickbait,unreliable,,,
Bluestem Prairie,bluestemprairie.com,left_center,,,,,,
bluevision.news,bluevision.news,,fake news,,,,,"Panama, Pa. *"
bluevisionpost,bluevisionpost.com,,fake news,,,,,"Panama, Pa. *"
boilingfrogspost,boilingfrogspost.com,,,unreliable,,,"links to natural news, blacklist news, some conspiracy sites",
Boing Boing,boingboing.net,left,,,,,,
borowitzreport,borowitzreport.com,,,satire,,,,
Boston Globe,bostonglobe.com,left_center,,,,,,
Boston Herald,bostonherald.com,right_center,,,,,,
bostonleader,bostonleader.com,,parody site,fake,,,,"Toronto, Canada !!!"
The Boston Tribune,bostontribune.com,questionable,parody site,fake,,,,"Scottsdale, Ariz. **"
breaking911,breaking911.com,,,clickbait,unreliable,,,
Breaking Defense,breakingdefense.com,right_center,,,,,,
breakpoint,breakpoint.org,,,unreliable,,,,
HL12,breakthrough.holylandnutrition.com,pseudoscience,,,,,,
Breitbart,breitbart.com,right,,political,unreliable,bias,,
Breitbart Unmasked,breitbartunmasked.com,left,,,,,,
Bridge Magazine,bridgemi.com,least_biased,,,,,,
Brief.News,brief.news,least_biased,,,,,,
Broken World News,brokenworldnews.com,satire,,,,,,
Brookings Institute,brookings.edu,left_center,,,,,,
brotherjohnf,brotherjohnf.com,,,bias,conspiracy,,,
Buffalo News,buffalonews.com,left_center,,,,,,
bullionbullscanada,bullionbullscanada.com,,,conspiracy,,,"The ""one"" bank",
Burrard Street Journal,burrardstreetjournal.com,satire,,satire,,,,
Business Insider,businessinsider.com,left_center,,,,,,
Bust Magazine,bust.com,left,,,,,,
Bustle Magazine,bustle.com,left_center,,,,,,
Buzzfeed,buzzfeed.com/news,left_center,,,,,,
buzzfeedusa,buzzfeedusa.com,,fake news,fake,rumor,,,"Scottsdale, Ariz. **"
bvanews,bvanews.com,,,unreliable,bias,fake,seems like a combination of totally fake and unreliable reports of 'real' news,
C-SPAN,c-span.org,least_biased,,,,,,
Center for a Stateless Society,c4ss.org,right_center,,,,,,
Calgary Herald,calgaryherald.com,left_center,,,,,,
Calgary Sun,calgarysun.com,right_center,,,,,,
Call the Cops,callthecops.net,satire,,satire,,,,
Campaign Life Coalition,campaignlifecoalition.com,right,,,,,,
Canada Free Press,canadafreepress.com,right,,conspiracy,bias, ,,
Canadian Dimension,canadiandimension.com,left,,,,,,
cannasos,cannasos.com,,some fake stories,fake,unreliable,,,"Scottsdale, Ariz. **"
Cap News,cap-news.com,satire,,fake, ,,,
California Political Review,capoliticalreview.com,right_center,,,,,,
Carbonated TV,carbonated.tv,left,,,,,,
Carnegie Endowment for International Peace,carnegieendowmentforinternationalpeace.com,least_biased,,,,,,
Carolina Public Press,carolinapublicpress.org,left_center,,,,,,
Castanet,castanet.net,least_biased,,,,,,
Cato Institute,cato.org,right_center,,,,,,
cato.org/blog,cato.org/blog,,,political,reliable,,,
Regulation Magazine,cato.org/regulation,right_center,,,,,,
CBC News,cbc.ca/news,left_center,,,,,,
Congressional Budget Office (CBO),cbo.gov,least_biased,,,,,,
CBS News,cbsnews.com.co,left_center,,fake,,,,
CCTV America,cctv-america.com,left_center,,,,,,
Committee for Economic Development,ced.org,least_biased,,,,,,
Competitive Enterprise Institute,cei.org,right_center,,,,,,
CelebTriCity,celebtricity.com,satire,,satire,,,,
Censored.News,censored.news,questionable,,,,,,
Center for Advanced Defense Studies,centerforadvanceddefensestudies.com,least_biased,,,,,,
Center for a New American Security,centerforanewamericansecurity.com,least_biased,,,,,,
Center for Global Development,centerforglobaldevelopment.com,least_biased,,,,,,
Center for Inquiry,centerforinquiry.net,least_biased,,,,,,
Center for the National Interest,centerforthenationalinterest.com,right_center,,,,,,
Council on Foreign Relations,cfr.org,right_center,,,,,,
Change.org,change.org,left,,,,,,
channel-7-news,channel-7-news.com,,,fake,,,,
channel18news,channel18news.com,,imposter site,fake,,,,"Scottsdale, Ariz. **"
Charisma News,charismanews.com,pseudoscience,,bias,,,"minimal factual reporting despite being ""news'",
Charlotte Observer,charlotteobserver.com,left_center,,,,,,
chaser,chaser.com.au,,,satire,,,,
checkoutthehealthyworld,checkoutthehealthyworld.com,,,junksci,clickbait,,,
Chicago Sun Times,chicago.suntimes.com,left_center,,,,,,
Chicago Reader,chicagoreader.com,left,,,,,,
Chicago Tribune,chicagotribune.com,left_center,,,,,,
Chicks on the Right,chicksontheright.com,right,,clickbait,bias,,,
China Daily,chinadaily.com.cn,least_biased,,,,,,
christianfightback,christianfightback.com,,,hate,bias,,,
Christianity Today,christianitytoday.com,right_center,,,,,,
Christian Post,christianpost.com,right,,reliable,political,,,
Christian Times Newspaper,christiantimesnewspaper.com,pseudoscience,imposter site,rumor,bias,fake,,"Scottsdale, Ariz. **"
christiantoday,christiantoday.info,,fake news,,,,,"Scottsdale, Ariz. **"
Christwire,christwire.org,satire,,satire,,, ,
The Chronicle of Higher Education,chronicle.com,least_biased,,,,,,
chronicle,chronicle.su,,,satire, ,,,
Internet Chronicle,chronicle.su,satire,,,,,,
chroniclesmagazine,chroniclesmagazine.org,,,political,,,"from what I gather, like the opposite of Jacobin (paleoconservative) ",
Chronicles of Democracy,chroniclesofdemocracy.com,left,,,,,,
Cincinnati Enquirer,cincinnati.com,right_center,,,,,,
Center for International Policy,ciponline.org,left_center,,,,,,
Circa News,circa.com,least_biased,,,,,,
Center for Immigration Studies (CIS),cis.org,questionable,,,,,,
Asheville Citizen-Times,citizen-times.com,left_center,,,,,,
Citizens United,citizensunited.org,right,,bias,,,loaded language etc.,
City Journal,city-journal.org,right,,political,,,,
City and State New York,cityandstateny.com,least_biased,,,,,,
CityWorldNews,cityworldnews.com,questionable,,fake,,,,
Civic Tribune,civictribune.com,satire,imposter site,fake,,,,"Scottsdale, Ariz. **"
Clarion Project,clarionproject.org,questionable,,,,,,
Clash Daily,clashdaily.com,questionable,fake news,fake,conspiracy,bias,,"Scottsdale, Ariz. **"
Clean Technica,cleantechnica.com,left_center,,,,,,
The Plain Dealer,cleveland.com/plaindealer,left_center,,,,,,
Clickhole,clickhole.com,satire,,satire,,,,
Climate Action Tracker,climateactiontracker.org,pro_science,,,,,,
Climate Central,climatecentral.org,pro_science,,,,,,
Climate Depot,climatedepot.com,pseudoscience,,,,,,
Climate Feedback,climatefeedback.org,pro_science,,,,,,
The Climate Reality Project,climaterealityproject.org,left,,,,,,
CNBC,cnbc.com,left_center,,,,,,
CNET,cnet.com,pro_science,,,,,,
CNN,cnn.com,left_center,,,,,,
Cnn.com.de,cnn.com.de,questionable,,,,,,
cnnews3,cnnews3.com,,imposter site,fake,,,,"Scottsdale, Ariz. **"
cnnnext,cnnnext.com,,,unreliable,,,basically an RT video channel,
CNS News,cnsnews.com,right,,unreliable,bias,,The news arm of Media Research Center (a conservative org that is frequently criticized for use of selective evidence) ,
Coast to Coast AM,coasttocoastam.com,pseudoscience,,unreliable,,,,
coed,coed.com,,some fake stories,fake,unreliable,,,"New York, N.Y."
Cold Dead Hands,colddeadhands.us,right,,,,,,
Collective-Evolution,collective-evolution.com,pseudoscience,,junksci,,,,
Collectively Conscious,collectivelyconscious.net,pseudoscience,,junksci,conspiracy,,,
Communities Digital News,commdiginews.com,right_center,,,,,,
Commentary Magazine,commentarymagazine.com,right,,political,,,,
Common Dreams,commondreams.org,left,,political,clickbait,,,
Commonwealth Fund,commonwealthfund.org,left_center,,,,,,
concisepolitics,concisepolitics.com,,,conspiracy,hate,,,
Conflict News,conflict-news.com,least_biased,,,,,,
Congress.gov,congress.gov,least_biased,,,,,,
Conscious Life News,consciouslifenews.com,pseudoscience,,junksci, ,,,
Conservapedia,conservapedia.com,questionable,,bias, , ,,
Conservation Magazine,conservationmagazine.org,least_biased,,,,,,
Council of Concerned Citizens,conservative-headlines.com,questionable,,,,,,
Conservative 101,conservative101.com,questionable,,,,,,
Conservative Base,conservativebase.com,right,,,,,,
conservativebyte,conservativebyte.com,,,fake,bias,,,
Conservative Daily News,conservativedailynews.com,right,,,,,,
Conservative Daily Post,conservativedailypost.com,questionable,fake news,fake,unreliable,,This website is a weird mix of outright fake news and some stuff that looks more reliable. ,"Panama, Pa. *"
Conservative Fighters,conservativefighters.com,questionable,,fake,,,,
conservativefiringline,conservativefiringline.com,,,bias,conspiracy,clickbait,,
conservativeflashnews,conservativeflashnews.com,,fake news,fake,,,,"Panama, Pa.*"
conservativeinfidel,conservativeinfidel.com,,,fake,conspiracy,,,
Conservative Info Corner,conservativeinfocorner.com,questionable,fake news,,,,,Came up as available for use
Conservative Outfitters,conservativeoutfitters.com,right,,unreliable,clickbait,,,
conservativepapers,conservativepapers.com,,,bias,,,"incorrect/uncited data, citing other sources labeled as bias",
Conservative Post,conservativepost.com,questionable,,,,,,
conservativerefocus,conservativerefocus.com,,,conspiracy,,,,
Conservative Review,conservativereview.com,right,,political,,,,
Conservative Spirit,conservativespirit.com,questionable,fake news,bias,fake,,,"Chesterbrook, Pa.^"
conservativestate,conservativestate.com,,,bias,,,"links to other borderline fake, but mostly just propagandistic websites",
Conservative Tribune,conservativetribune.com,questionable,,bias,conspiracy,unreliable,,
Consortium News,consortiumnews.com,least_biased,,reliable,,,The authors on this website are pretty reliable and the articles appear well researched,
Conspiracy Planet,conspiracyplanet.com,pseudoscience,,conspiracy,,,,
conspiracywire,conspiracywire.com,,,conspiracy,,,,
The Constitution,constitution.com,questionable,,,,,,
Constitution Project,constitutionproject.org,least_biased,,,,,,
Consumerist,consumerist.com,least_biased,,,,,,
Contrail Science,contrailscience.com,pro_science,,,,,,
Controversial Times,controversialtimes.com,right,,,,,,
Cook Political Report,cookpolitical.com,least_biased,,,,,,
The Corbett Report,corbettreport.com,pseudoscience,,conspiracy,,,,
Cosmopolitan,cosmopolitan.com,left,,,,,,
Council for the National Interest,councilforthenationalinterest.org,left_center,,,,,,
Countdown to Zerotime,countdowntozerotime.com,pseudoscience,,conspiracy, ,,,
Counter Current News,countercurrentnews.com,pseudoscience,,bias,,,,
countercurrents,countercurrents.org,,,political,unreliable,,This site is pretty explicit about it's p.o.v. and is coming from a political perspective but doesn't fit under how we are defining 'bias',
counterinformation.wordpress,counterinformation.wordpress.com,,,political,,,,
counterjihad,counterjihad.com,,,bias,,,,
CounterPsyOps,counterpsyops.com,pseudoscience,,conspiracy,,,,
CounterPunch,counterpunch.org,left,,political,,,explicit POV - legit authors,
The Courier-Journal,courier-journal.com,left_center,,,,,,
The Courier-Mail,couriermail.com.au,right_center,,,,,,
cowgernation,cowgernation.com,,,bias,conspiracy,,,
Committee to Protect Journalists,cpj.org,least_biased,,,,,,
Cracked,cracked.com,satire,,,,,,
Cream BMP,creambmp.com,satire,,satire,fake,,,
Credo Action,credoaction.com,left_center,,,,,,
Committee for a Responsible Federal Budget,crfb.org,least_biased,,,,,,
Crime Prevention Research Center,crimeresearch.org,right,,,,,,
CrimethInc,crimethinc.com,left,,,,,,
International Crisis Group,crisisgroup.org,left_center,,,,,,
Crooks and Liars,crooksandliars.com,left,,,,,,
Crosscut.com,crosscut.com,left_center,,,,,,
cryptogon,cryptogon.com,,,conspiracy,unreliable,,copy-pasted commentary from various news & 'news' sources,
crystalair,crystalair.com,,,satire,,,redirects to http://www.cap-news.com/,
CSC Mediagroup USA,cscmediagroupus.com,right,,,,,,
CS Globe,csglobe.com,pseudoscience,,,,,,
Committee for Skeptical Inquiry,csicop.org,pro_science,,,,,,
Skeptical Inquirer,csicop.org/si,pro_science,,,,,,
Center For Strategic and International Studies,csis.org,least_biased,,,,,,
Christian Science Monitor,csmonitor.com,least_biased,,,,,,
Citizens for Tax Justice,ctj.org,left_center,,,,,,
CTV News,ctvnews.ca,left_center,,,,,,
Current Affairs Magazine,currentaffairs.org,left,,,,,,
Daily Buzz Live,dailybuzzlive.com,questionable,,fake,,,,
Daily Caller,dailycaller.com,right,,political,clickbait,bias,a weird mix of info. they link to extremely biased sites (as sources) and more reliable/balanced sources,
The Daily Climate,dailyclimate.org,left_center,,,,,,
Daily Currant,dailycurrant.com,satire,,satire,,,,
The Daily Discord,dailydiscord.com,satire,,satire,,,,
Daily Dot,dailydot.com,left,,,,,,
Daily Headlines,dailyheadlines.net,questionable,,fake, ,,,
Daily Infobox,dailyinfobox.com,questionable,fake news,fake,,,,"Panama, Pa.*"
dailyken,dailyken.com,,,hate,,,,
Daily Kos,dailykos.com,left,,political,clickbait, ,,
dailyleak,dailyleak.org,,,satire,fake,,,
Daily Mail,dailymail.co.uk/ushome/index.html,right,,,,,,
Los Angeles Daily News,dailynews.com,right_center,,,,,,
dailynews10,dailynews10.com,,imposter site,fake,,,,"Scottsdale, Ariz. **"
dailynews5,dailynews5.com,,imposter site,fake,,,,"Scottsdale, Ariz. **"
Daily News Bin,dailynewsbin.com,left,,bias,clickbait,,,
dailynewsposts,dailynewsposts.info,,fake news,fake,,,,"Chesterbrook, Pa ^"
Daily Occupation,dailyoccupation.com,pseudoscience,,conspiracy,bias,,,
dailypoliticsusa,dailypoliticsusa.com,,,bias,,,,
Daily Press,dailypress.com,right_center,,,,,,
Daily Record,dailyrecord.com,least_biased,,,,,,
Daily Sabah,dailysabah.com,right,,,,,,
Daily Signal,dailysignal.com,right,,bias,,,,
dailysnark,dailysnark.com,,parody site,satire,,,,"Scottsdale, Ariz. **"
Daily Squib,dailysquib.co.uk,satire,,satire,,,,
Daily Star UK,dailystar.co.uk,pseudoscience,,,,,,
Daily Stormer,dailystormer.com,questionable,,hate,conspiracy,bias,pretty well known neo-nazi site,
Daily Surge,dailysurge.com,right,fake news,fake,,,,"Alexandria, Va."
The Daily Tarheel,dailytarheel.com,left_center,,,,,,
Daily Telegraph,dailytelegraph.com.au,right_center,,bias,rumor,,australian tabloid mag,
The Daily Telegraph (Australia),dailytelegraph.com.au,right,,,,,,
dailyusaupdate,dailyusaupdate.com,,fake news,fake,,,,"Scottsdale, Ariz. **"
The Daily Wire,dailywire.com,right,,bias,,,,
Dallas Morning News,dallasnews.com,right_center,,,,,,
Dallas Voice,dallasvoice.com,left,,,,,,
damnleaks,damnleaks.com,,fake news,fake,,,,"Colorado Springs, Colo. "
The Dandy Goat,dandygoat.com,satire,,satire,,,,
Danger and Play,dangerandplay.com,questionable,,,,,,
darkmoon,darkmoon.me,,,hate,bias,,,
darkpolitricks,darkpolitricks.com,,,bias,conspiracy,,,
Data Asylum,dataasylum.com,pseudoscience,,conspiracy,junksci,,,
davejanda,davejanda.com,,,unreliable,,,,
davidduke,davidduke.com,,,hate,,,,
David Icke,davidicke.com,pseudoscience,,,,,,
davidstockmanscontracorner,davidstockmanscontracorner.com,,,political,,,,
David Wolfe,davidwolfe.com,pseudoscience,,conspiracy,,,,
dcclothesline,dcclothesline.com,,,conspiracy,junksci,,,
The D.C. Clothesline,dcclothesline.com,questionable,,,,,,
DC Gazette,dcgazette.com,questionable,,fake,,,,
dcleaks,dcleaks.com,,,unreliable,,,,
DCReport.org,dcreport.org,left_center,,,,,,
DC Statesman,dcstatesman.com,right,,,,,,
Deadline Hollywood,deadline.com,left_center,,,,,,
deadlinelive,deadlinelive.info,,,political,conspiracy,,,
deadlyclear.wordpress,deadlyclear.wordpress.com,,,bias,fake news,,"Not a personal website, owned by Project Maui, Inc. Makes unverifiable extraordinary claims, seems to be advertising for lawyers with a history of legal reprimands.",
Dead State,deadstate.org,left,,,,,,
DeathandTaxes,deathandtaxes.com,left,,,,,,
Debate Post,debatepost.com,right,,,,,,
debunkingskeptics,debunkingskeptics.com,,,bias,conspiracy,,Science doesn't mean what they think it means,
SCEPCOP (Debunking Skeptics),debunkingskeptics.com,pseudoscience,,,,,,
defenddemocracy.press,defenddemocracy.press,,,bias,political,,"editorial board as stated on about us seem to be legitimate academics, and originally authored content byline are academics, although not able to find a clear link between edu pages and these authors' work on this website. Many 3rd party articles are linked, sources provided. These articles are aggregated from other more clearly biased sites i.e. world socialist web site (wswg.org), rt.com, sputniknews.com.",
Defense One,defenseone.com,least_biased,,,,,,
Democracy Now,democracynow.org,left,,,,,,
Democrat and Chronicle,democratandchronicle.com,left_center,,,,,,
The Democratic Hub,democratichub.com,left,,,,,,
democraticmoms,democraticmoms.com,,fake news,,,,,"Panama, Pa. *"
Democratic Review,democraticreview.com,questionable,,,,,,
dennismichaellynch,dennismichaellynch.com,,,political,,,,
Denver Guardian,denverguardian.com,questionable,,fake,,,,
